-8.557891	1.586589	4.590646	-2.973131	-3.399879	1.666560	-2.313068	1.989035	-0.049864	1.488769	-0.891329	-0.885471	0.275266	0.134800	-0.100029	26.626293
-9.098742	2.117051	6.552557	-2.598904	-1.173048	3.736125	-1.455911	1.380434	-1.597456	-0.642726	-1.321476	-0.292295	-0.811988	-0.082670	0.360456	26.582506
-8.625455	1.251537	5.552702	-2.344417	-1.791117	2.017050	-1.472639	0.126803	-1.544259	-0.154262	-1.423293	-0.867777	-0.212137	-0.164930	0.184949	26.616673
-8.497906	1.605234	6.358900	-1.859201	-1.602581	2.366828	-2.149004	0.556991	-2.369619	0.291008	-1.976258	-0.619909	-0.396096	-0.895320	-0.330404	26.525225
-7.618309	2.038476	6.399371	-2.947021	-2.588619	3.190465	-2.506097	1.419904	-1.081266	1.876663	-0.526248	-0.688368	0.096336	-1.031622	-0.308789	26.538191
-9.042596	0.576049	0.700701	-2.441114	-1.613621	1.017716	-0.380472	1.086322	0.818339	1.532059	-0.602740	-0.812573	-0.115192	-0.132716	0.535748	26.949261
-10.127537	-0.744827	0.565443	-2.019783	-2.789507	-1.286031	-0.548102	1.450767	-0.669076	1.245760	-0.748178	-0.254383	-0.163967	-1.923435	0.124902	26.974607
-8.783128	0.848111	0.721045	-4.126237	-5.004628	0.821204	0.415215	2.080996	-0.724133	2.684232	-1.366913	-1.647076	0.760457	-0.805542	0.763675	26.367729
-8.170401	0.652229	1.899226	-2.509164	-3.143591	1.168120	-0.050090	2.043996	-0.930040	1.363893	-1.466429	-0.942954	0.531216	-0.295984	0.765353	25.562937
-9.537162	-0.413990	2.484777	-2.111229	-1.659989	0.773776	-0.730277	1.677342	1.057917	1.943348	-0.602138	-1.100742	-0.076808	-0.294476	0.280684	25.170898
-9.640078	-0.246235	2.795321	-1.870438	-1.593010	0.944921	0.335520	1.234648	0.912508	0.050721	-0.697737	-1.066224	-0.865272	0.544423	1.026404	24.497334
